City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,74.55,96,21,6.08,few clouds
1,Pangnirtung,CA,66.1451,-65.7125,-19.23,91,71,5.86,broken clouds
2,Westport,US,41.1415,-73.3579,46.89,91,100,14.97,heavy intensity rain
3,Isiro,CD,2.7739,27.616,65.73,55,75,1.66,broken clouds
4,Porto Velho,BR,-8.7619,-63.9039,71.65,94,20,2.3,light rain
5,Hilo,US,19.7297,-155.09,82.27,70,20,12.66,few clouds
6,Tasiilaq,GL,65.6145,-37.6368,12.36,95,100,5.37,light snow
7,Punta Arenas,CL,-53.15,-70.9167,57.31,82,0,14.97,clear sky
8,Labuhan,ID,-6.8844,112.2051,84.7,68,98,2.95,overcast clouds
9,Kruisfontein,ZA,-34.0033,24.7314,65.88,94,0,3.78,clear sky
10,Sao Filipe,CV,14.8961,-24.4956,72.81,72,13,14.2,few clouds
11,Yellowknife,CA,62.456,-114.3525,10.92,92,20,9.22,few clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,10.36,light snow
13,Venado,MX,22.9333,-101.0833,53.98,86,62,7.72,broken clouds
14,Ushuaia,AR,-54.8,-68.3,49.66,100,75,8.05,light rain
15,Salalah,OM,17.0151,54.0924,69.89,23,0,20.71,clear sky
16,Barrow,US,71.2906,-156.7887,-7.58,77,100,14.97,overcast clouds
17,Torres,BR,-29.3353,-49.7269,74.82,95,89,3.24,overcast clouds
18,Victoria,HK,22.2855,114.1577,65.25,61,85,8.01,overcast clouds
19,Hithadhoo,MV,-0.6,73.0833,80.13,76,100,11.9,light rain
20,San Luis Rio Colorado,MX,32.4631,-114.7767,55.9,26,0,8.99,clear sky
21,Kapaa,US,22.0752,-159.319,77.32,84,75,12.66,broken clouds
22,Gubkinskiy,RU,64.434,76.5026,-20.7,95,20,9.51,few clouds
23,Naze,JP,28.3667,129.4833,61.72,55,5,14.47,clear sky
24,Bardiyah,LY,31.7561,25.0865,54.39,55,0,13.91,clear sky
25,Lata,PT,40.1629,-8.3327,55.08,96,100,7.25,overcast clouds
26,Rikitea,PF,-23.1203,-134.9692,78.3,66,86,2.37,overcast clouds
27,Balgazyn,RU,51.0,95.2,9.5,88,100,0.6,overcast clouds
28,Broome,US,42.2506,-75.833,40.69,90,100,5.75,mist
29,Fukue,JP,32.6881,128.8419,48.56,76,75,13.8,broken clouds
30,Port Elizabeth,ZA,-33.918,25.5701,68.31,91,20,8.05,few clouds
31,Castro,BR,-24.7911,-50.0119,62.82,98,100,8.01,overcast clouds
32,Hambantota,LK,6.1241,81.1185,79.14,65,20,6.91,few clouds
33,Veraval,IN,20.9,70.3667,68.47,46,3,10.65,clear sky
34,Dzilam Gonzalez,MX,21.2833,-88.9333,74.64,89,43,9.4,scattered clouds
35,Khatanga,RU,71.9667,102.5,-43.56,97,23,3.8,few clouds
36,Saint-Joseph,RE,-21.3667,55.6167,75.58,85,84,8.75,light rain
37,Mataura,NZ,-46.1927,168.8643,59.95,86,100,6.15,overcast clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,73.94,89,0,17.36,clear sky
39,Alofi,NU,-19.0595,-169.9187,85.89,70,40,12.66,scattered clouds
40,Carauari,BR,-4.8828,-66.8958,71.62,100,100,0.85,overcast clouds
41,Turan,VN,16.0678,108.2208,75.18,60,75,4.61,broken clouds
42,Mahebourg,MU,-20.4081,57.7,77.25,100,75,3.44,thunderstorm with rain
43,Albany,US,42.6001,-73.9662,36.64,93,100,3.8,overcast clouds
44,Vaini,TO,-21.2,-175.2,86.16,79,40,18.41,light rain
45,Hobart,AU,-42.8794,147.3294,69.66,49,40,12.66,scattered clouds
46,Bluff,NZ,-46.6,168.3333,59.52,74,85,22.62,overcast clouds
47,Goma,CD,-1.6792,29.2228,62.78,83,99,2.3,overcast clouds
48,Busselton,AU,-33.65,115.3333,83.66,41,3,5.64,clear sky
49,Luganville,VU,-15.5333,167.1667,77.13,93,100,3.24,overcast clouds
50,Ribeira Grande,PT,38.5167,-28.7,58.77,78,94,13.0,overcast clouds
51,Manga,BF,11.6636,-1.0731,69.96,19,1,8.14,clear sky
52,Yumen,CN,40.2833,97.2,14.76,56,9,23.0,clear sky
53,Lompoc,US,34.6391,-120.4579,50.77,85,0,14.97,clear sky
54,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,19.57,few clouds
55,Narsaq,GL,60.9167,-46.05,23.22,93,100,2.91,overcast clouds
56,Ellisras,ZA,-23.6649,27.7443,69.46,63,8,4.05,clear sky
57,Kidal,ML,18.4411,1.4078,64.51,15,0,6.67,clear sky
58,Jamestown,US,42.097,-79.2353,42.39,61,87,14.0,moderate rain
59,Ancud,CL,-41.8697,-73.8203,55.98,95,91,6.13,overcast clouds
60,Faanui,PF,-16.4833,-151.75,80.53,74,20,18.77,light rain
61,Nikolskoye,RU,59.7035,30.7861,32.81,96,100,2.13,light snow
62,Mar Del Plata,AR,-38.0023,-57.5575,73.09,93,0,11.01,clear sky
63,Iqaluit,CA,63.7506,-68.5145,-7.31,76,100,2.3,light snow
64,Clyde River,CA,70.4692,-68.5914,-19.97,69,100,8.05,overcast clouds
65,Cape Town,ZA,-33.9258,18.4232,67.08,81,0,4.61,clear sky
66,Port Alfred,ZA,-33.5906,26.891,69.19,94,64,10.49,broken clouds
67,Karratha,AU,-20.7377,116.8463,83.59,64,96,2.64,overcast clouds
68,Butaritari,KI,3.0707,172.7902,81.05,79,100,19.22,light rain
69,Linares,CL,-35.85,-71.6,54.52,88,0,3.24,clear sky
70,Pacaembu,BR,-21.5622,-51.2606,69.75,89,99,1.52,overcast clouds
71,Tayu,ID,-6.5397,111.0518,85.01,67,93,4.21,light rain
72,Hami,CN,42.8,93.45,18.5,43,9,1.19,clear sky
73,Ilulissat,GL,69.2167,-51.1,-33.18,72,4,6.53,clear sky
74,Poum,NC,-20.2333,164.0167,76.71,93,100,21.81,overcast clouds
75,Visnes,NO,59.3556,5.2242,31.21,81,80,5.28,broken clouds
76,Fulton,US,33.7668,-84.4499,59.38,44,0,13.8,clear sky
77,Gao,ML,16.6362,1.637,65.39,13,0,10.45,clear sky
78,Aykhal,RU,66.0,111.5,-37.14,100,81,9.13,broken clouds
79,Beringovskiy,RU,63.05,179.3167,-25.31,95,78,7.36,broken clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,84,9,5.7,clear sky
81,Asau,RO,46.4333,26.4,42.28,82,100,1.14,overcast clouds
82,Verkhnevilyuysk,RU,63.4453,120.3167,-45.17,97,69,2.48,broken clouds
83,Poroshkovo,UA,48.6683,22.7533,34.02,93,99,3.53,overcast clouds
84,Klaksvik,FO,62.2266,-6.589,29.32,58,99,3.58,overcast clouds
85,Ihosy,MG,-22.4,46.1167,67.37,87,100,14.65,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,83.44,70,96,5.03,light rain
87,Sorkjosen,NO,69.8,20.9333,26.6,63,70,16.11,broken clouds
88,Zarubino,RU,42.63,131.0922,20.84,53,99,20.87,overcast clouds
89,Great Yarmouth,GB,52.6083,1.7305,34.45,92,23,15.28,few clouds
90,Kosh-Agach,RU,50.0,88.6667,-5.42,98,100,0.4,overcast clouds
91,Artyom,AZ,40.4723,50.333,44.74,75,15,7.54,few clouds
92,Walvis Bay,NA,-22.9575,14.5053,65.35,88,100,5.75,overcast clouds
93,Kuytun,RU,54.3419,101.5036,-1.32,91,100,7.85,overcast clouds
94,Guerrero Negro,MX,27.9769,-114.0611,58.53,66,0,16.08,clear sky
95,Qaanaaq,GL,77.484,-69.3632,-32.42,57,0,9.06,clear sky
96,Luderitz,NA,-26.6481,15.1594,64.81,70,14,14.67,few clouds
97,East London,ZA,-33.0153,27.9116,70.74,94,20,3.44,few clouds
98,Marzuq,YE,14.4,46.4667,55.69,60,22,2.71,few clouds
99,Flinders,AU,-34.5833,150.8552,73.06,55,85,11.05,overcast clouds
100,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,89,10.63,moderate rain
101,Murray Bridge,AU,-35.1167,139.2667,71.33,39,100,14.12,overcast clouds
102,Grand-Lahou,CI,5.1367,-5.0242,77.99,90,60,6.42,light rain
103,Mount Gambier,AU,-37.8333,140.7667,68.13,50,80,11.34,broken clouds
104,Buchanan,LR,5.8808,-10.0467,77.68,87,84,3.6,light rain
105,Ponta Do Sol,PT,32.6667,-17.1,62.71,63,62,8.95,broken clouds
106,Bredasdorp,ZA,-34.5322,20.0403,64.26,89,3,1.86,clear sky
107,San Ramon,US,37.7799,-121.978,49.1,82,0,5.75,clear sky
108,Saint George,US,37.1041,-113.5841,34.95,92,100,3.44,mist
109,Airai,TL,-8.9266,125.4092,60.53,96,100,2.64,overcast clouds
110,Vila Velha,BR,-20.3297,-40.2925,73.35,96,100,2.3,overcast clouds
111,Djibo,BF,14.1022,-1.6306,68.45,16,15,9.04,few clouds
112,Verkhnyaya Inta,RU,65.9811,60.3094,25.41,92,100,7.43,light snow
113,Balkanabat,TM,39.5108,54.3671,32.83,48,1,4.5,clear sky
114,Poya,NC,-21.35,165.15,80.53,71,92,5.28,overcast clouds
115,Malmesbury,ZA,-33.4608,18.7271,58.78,90,0,1.23,clear sky
116,La Ronge,CA,55.1001,-105.2842,17.85,93,100,5.75,light snow
117,Tura,IN,25.5198,90.2201,68.94,37,19,0.25,few clouds
118,Margate,GB,51.3813,1.3862,36.7,82,60,5.01,broken clouds
119,Torbay,CA,47.6666,-52.7314,33.39,92,100,11.5,light shower snow
120,Chuy,UY,-33.6971,-53.4616,69.1,88,3,8.66,clear sky
121,Omagh,GB,54.6,-7.3,26.51,95,100,1.54,overcast clouds
122,La Palma,US,33.8464,-118.0467,55.45,90,75,6.91,broken clouds
123,Tigil,RU,57.8,158.6667,-12.95,97,89,0.29,overcast clouds
124,Gravdal,NO,68.1214,13.5031,39.34,81,100,17.63,light rain
125,Qasigiannguit,GL,68.8193,-51.1922,-30.15,68,2,6.24,clear sky
126,Tiksi,RU,71.6872,128.8694,-27.74,100,100,3.58,overcast clouds
127,Atuona,PF,-9.8,-139.0333,78.85,79,14,16.87,light rain
128,Lasa,IT,46.6166,10.7002,22.08,90,52,5.12,broken clouds
129,Byron Bay,AU,-28.65,153.6167,74.95,77,93,15.19,overcast clouds
130,Mokhsogollokh,RU,61.4681,128.9203,-46.1,94,94,0.47,overcast clouds
131,Meulaboh,ID,4.1363,96.1285,82.42,65,100,0.65,overcast clouds
132,Sayyan,YE,15.1718,44.3244,45.32,53,23,3.2,few clouds
133,Boende,CD,-0.2167,20.8667,73.47,70,99,1.43,overcast clouds
134,Bontang,ID,0.1333,117.5,82.22,74,100,2.33,overcast clouds
135,Pevek,RU,69.7008,170.3133,-20.92,92,100,16.2,overcast clouds
136,Guhagar,IN,17.4842,73.1929,78.17,43,58,2.42,broken clouds
137,Esperance,AU,-33.8667,121.9,72.43,52,0,15.57,clear sky
138,Ambilobe,MG,-13.2,49.05,75.49,89,100,10.07,moderate rain
139,Hunchun,CN,42.8675,130.3581,19.38,43,44,19.42,scattered clouds
140,Fernie,CA,49.5,-115.0687,35.69,98,100,1.72,light snow
141,Merrill,US,45.1805,-89.6835,29.97,93,100,8.05,overcast clouds
142,Kaliua,TZ,-5.0606,31.7936,63.34,93,100,2.19,overcast clouds
143,San Cristobal,VE,7.7669,-72.225,68.18,82,76,1.81,broken clouds
144,Sao Desiderio,BR,-12.3633,-44.9733,67.06,98,84,1.5,light rain
145,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,18.41,light rain
146,Bonavista,CA,48.6499,-53.1147,31.6,96,100,18.88,light snow
147,Golpayegan,IR,33.4537,50.2884,29.7,54,0,1.95,clear sky
148,Belaya Gora,RU,68.5333,146.4167,-43.04,100,98,2.93,overcast clouds
149,Kudahuvadhoo,MV,2.6708,72.8944,80.42,65,28,17.69,scattered clouds
150,Ewa Beach,US,21.3156,-158.0072,81.99,70,75,8.99,shower rain
151,Slatinany,CZ,49.9211,15.8138,29.05,93,0,1.14,clear sky
152,Tari,NG,12.4086,4.4914,67.68,21,0,8.66,clear sky
153,Cuenca,EC,-2.8833,-78.9833,55.53,94,75,2.3,light rain
154,Avarua,CK,-21.2078,-159.775,82.45,78,75,19.57,broken clouds
155,Iskateley,RU,67.6803,53.1512,29.12,89,99,22.35,overcast clouds
156,Sokoni,TZ,-6.4333,39.55,78.66,78,100,13.38,overcast clouds
157,Sergeyevka,KZ,53.88,67.4158,5.32,87,6,6.91,clear sky
158,Glens Falls,US,43.3095,-73.644,35.04,95,100,3.44,mist
159,Dikson,RU,73.5069,80.5464,-24.59,94,13,10.07,few clouds
160,Kavaratti,IN,10.5669,72.642,80.28,69,6,9.35,clear sky
161,Jacksonville,US,30.3322,-81.6556,73.51,82,75,13.8,broken clouds
162,Kahului,US,20.8947,-156.47,80.62,72,40,5.01,scattered clouds
163,Puno,PE,-15.8333,-70.0333,42.6,83,100,4.0,overcast clouds
164,Sambava,MG,-14.2667,50.1667,76.42,84,100,7.67,overcast clouds
165,Chapais,CA,49.7834,-74.8492,8.38,95,99,7.07,overcast clouds
166,Pitkyaranta,RU,61.5734,31.4792,30.09,90,100,1.61,overcast clouds
167,Yulara,AU,-25.2406,130.9889,80.04,27,100,7.02,overcast clouds
168,Beidao,CN,34.5686,105.8933,33.57,37,100,1.03,overcast clouds
169,New Norfolk,AU,-42.7826,147.0587,69.3,43,91,4.36,overcast clouds
170,Henties Bay,NA,-22.116,14.2845,64.44,92,94,4.16,overcast clouds
171,Snyder,US,32.7179,-100.9176,46.74,34,0,5.75,clear sky
172,Boyolangu,ID,-8.1181,111.8935,83.17,73,74,7.4,broken clouds
173,Mopti,ML,14.6667,-4.0,60.84,55,0,4.61,clear sky
174,Cidreira,BR,-30.1811,-50.2056,73.24,89,19,10.89,few clouds
175,Talnakh,RU,69.4865,88.3972,-29.54,90,5,6.22,clear sky
176,Saskylakh,RU,71.9167,114.0833,-41.08,100,61,3.96,broken clouds
177,Middelburg,ZA,-25.7751,29.4648,62.85,69,61,4.72,broken clouds
178,San Carlos,VE,9.6612,-68.5827,71.06,83,74,4.0,broken clouds
179,San Quintin,MX,30.4833,-115.95,55.17,73,0,13.69,clear sky
180,Meybod,IR,32.2501,54.0166,35.62,66,0,4.16,clear sky
181,Conceicao Da Barra,BR,-18.5933,-39.7322,73.94,89,98,4.32,light rain
182,Husavik,IS,66.0449,-17.3389,21.92,76,100,12.21,overcast clouds
183,Ust-Tsilma,RU,65.441,52.1498,30.16,90,100,11.45,overcast clouds
184,Mirador,BR,-6.3708,-44.3631,69.06,98,98,1.7,overcast clouds
185,Chabahar,IR,25.2919,60.643,62.29,48,0,8.88,clear sky
186,Holme,DK,56.1138,10.1725,33.37,95,100,4.21,overcast clouds
187,Bethel,US,41.3712,-73.414,41.02,87,100,1.01,heavy intensity rain
188,Touros,BR,-5.1989,-35.4608,78.35,81,98,9.08,overcast clouds
189,Kattivakkam,IN,13.2167,80.3167,75.29,66,100,5.17,overcast clouds
190,Miri,MY,4.4148,114.0089,84.34,79,40,3.44,scattered clouds
191,Hailey,US,43.5196,-114.3153,21.06,83,100,3.44,overcast clouds
192,Norsup,VU,-16.0667,167.3833,78.06,91,100,14.83,heavy intensity rain
193,Korla,CN,41.7597,86.1469,10.92,73,4,2.39,clear sky
194,Pyapon,MM,16.2833,95.6833,81.95,34,7,6.15,clear sky
195,Rantoul,US,40.3084,-88.1559,35.62,86,100,19.57,overcast clouds
196,Khani,GE,41.9563,42.9566,40.57,60,5,7.02,clear sky
197,Omsukchan,RU,62.5333,155.8,-32.67,95,100,5.79,overcast clouds
198,Killarney,IE,52.05,-9.5167,37.31,95,100,3.96,light rain
199,Ambulu,ID,-8.345,113.6058,80.96,81,100,4.9,overcast clouds
200,Prichard,US,30.7388,-88.0789,61.34,69,0,5.75,clear sky
201,Vao,NC,-22.6667,167.4833,76.3,70,57,13.56,broken clouds
202,Mareeba,AU,-17.0,145.4333,84.92,72,100,5.86,overcast clouds
203,Upata,VE,8.0086,-62.3989,72.19,96,39,3.49,scattered clouds
204,Panjab,AF,34.388,67.0233,1.06,99,71,4.36,broken clouds
205,Fort Smith,US,35.3859,-94.3986,40.33,65,0,4.61,clear sky
206,Codrington,AU,-38.2667,141.9667,65.88,55,75,14.65,broken clouds
207,Isangel,VU,-19.55,169.2667,81.41,64,47,9.15,scattered clouds
208,Ostersund,SE,63.1792,14.6357,19.85,100,100,2.3,overcast clouds
209,Saldanha,ZA,-33.0117,17.9442,62.65,96,2,6.08,clear sky
210,Carnarvon,AU,-24.8667,113.6333,81.66,71,4,11.74,clear sky
211,Kayerkan,RU,69.3497,87.7602,-29.09,81,2,5.46,clear sky
212,Black River,JM,18.0264,-77.8487,71.71,82,44,4.29,scattered clouds
213,Srednekolymsk,RU,67.45,153.6833,-29.13,98,100,4.07,overcast clouds
214,Roma,US,43.2128,-75.4557,40.08,95,100,11.5,overcast clouds
215,Muzhi,RU,65.3667,64.6667,6.53,97,100,3.76,overcast clouds
216,Hermanus,ZA,-34.4187,19.2345,63.81,85,0,4.16,clear sky
217,Provideniya,RU,64.3833,-173.3,-14.69,70,0,4.47,clear sky
218,Bambous Virieux,MU,-20.3428,57.7575,77.22,100,75,3.44,thunderstorm with rain
219,Souillac,MU,-20.5167,57.5167,75.58,100,75,3.44,thunderstorm with rain
220,Upernavik,GL,72.7868,-56.1549,-14.31,92,100,11.63,overcast clouds
221,Saint-Francois,FR,46.4154,3.9054,31.44,93,100,5.75,light snow
222,Mount Isa,AU,-20.7333,139.5,94.77,28,57,6.91,broken clouds
223,Galdar,ES,28.147,-15.6502,63.1,72,90,20.51,overcast clouds
224,Mouila,GA,-1.8685,11.0559,72.07,98,100,0.65,overcast clouds
225,Mitchell,US,43.7094,-98.0298,19.38,86,100,10.36,overcast clouds
226,Cap Malheureux,MU,-19.9842,57.6142,77.47,87,100,14.36,heavy intensity rain
227,Portland,US,45.5234,-122.6762,40.84,92,20,3.44,few clouds
